remove,,map,linechart,units,source key,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24
3c. OPEC Crude Oil (excluding condensates) Production,3c. OPEC Crude Oil (excluding condensates) Production,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crude Oil,Crude Oil,0,0,million barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,Algeria Crude Oil Production,1,1,million barrels per day,COPR_AG,1.04,1.04,1.04,1.03,1.03,1.03,1.03,1.03,1.03,0.98,1,1.03,1.04,1.03,0.99,0.99,1.02,1.04,1.05,1.04,1,1,1,1,0.95,1.04,1.05,1.04,1.03,1,1.02,1.01,1.02,1.02,1.03,1.02,1.01,1.01,1.03,1.03,0.85,0.81,0.81,0.85,0.85,0.86,0.86,0.85,0.85,0.87,0.87,0.87,0.88,0.9,0.91,0.92,0.93,0.94,0.95,0.96,0.97,0.97,0.98,0.99,1,1.01,1.01,1.02,1.02,1.03,1.01,1.01,1.01,1.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Angola,Angola Crude Oil Production,1,1,million barrels per day,COPR_AO,1.64,1.67,1.61,1.68,1.64,1.67,1.65,1.67,1.65,1.68,1.58,1.62,1.61,1.6,1.57,1.56,1.57,1.54,1.55,1.56,1.58,1.55,1.59,1.57,1.57,1.46,1.47,1.43,1.45,1.41,1.39,1.43,1.38,1.36,1.3,1.43,1.35,1.3,1.4,1.32,1.28,1.22,1.15,1.18,1.24,1.13,1.15,1.1,1.1,1.09,1.13,1.11,1.07,1.06,1.11,1.07,1.14,1.09,1.12,1.17,1.12,1.18,1.15,1.2,1.16,1.2,1.14,1.18,1.15,1.11,1.07,1.11,1.15,1.08,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Congo (Brazzaville),Congo (Brazzaville) Crude Oil Production,1,1,million barrels per day,COPR_CF,0.18,0.19,0.15,0.17,0.19,0.25,0.27,0.26,0.27,0.29,0.3,0.31,0.32,0.33,0.36,0.36,0.36,0.34,0.33,0.34,0.34,0.33,0.3,0.31,0.32,0.34,0.33,0.34,0.33,0.33,0.32,0.33,0.34,0.33,0.31,0.3,0.3,0.29,0.28,0.29,0.28,0.3,0.28,0.27,0.28,0.26,0.28,0.26,0.27,0.27,0.29,0.28,0.26,0.27,0.26,0.26,0.25,0.26,0.25,0.26,0.27,0.28,0.27,0.28,0.29,0.29,0.28,0.28,0.29,0.27,0.25,0.25,0.26,0.26,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equatorial Guinea,Equatorial Guinea Crude Oil Production,1,1,million barrels per day,COPR_EK,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.14,0.13,0.13,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.12,0.11,0.11,0.1,0.12,0.12,0.11,0.11,0.14,0.13,0.12,0.13,0.12,0.13,0.13,0.12,0.13,0.14,0.1,0.12,0.11,0.11,0.1,0.09,0.1,0.13,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.1,0.08,0.1,0.07,0.06,0.06,0.06,0.06,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Gabon,Gabon Crude Oil Production,1,1,million barrels per day,COPR_GB,0.2,0.18,0.19,0.21,0.2,0.2,0.21,0.2,0.2,0.2,0.19,0.2,0.2,0.2,0.2,0.19,0.2,0.2,0.18,0.2,0.2,0.2,0.18,0.2,0.21,0.2,0.2,0.18,0.21,0.21,0.2,0.21,0.2,0.21,0.18,0.21,0.18,0.2,0.2,0.19,0.18,0.18,0.15,0.15,0.15,0.17,0.17,0.17,0.16,0.16,0.15,0.17,0.17,0.18,0.18,0.18,0.19,0.18,0.19,0.19,0.18,0.19,0.19,0.2,0.18,0.19,0.2,0.19,0.21,0.22,0.21,0.19,0.2,0.19,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Iran,Iran Crude Oil Production,1,1,million barrels per day,COPR_IR,3.8,3.8,3.81,3.81,3.81,3.82,3.83,3.83,3.84,3.85,3.84,3.83,3.84,3.83,3.81,3.83,3.81,3.78,3.72,3.52,3.4,3.4,2.7,2.6,2.65,2.65,2.6,2.5,2.3,2.2,2.1,2.1,2.1,2.1,2,2,2,2.05,2,1.98,1.98,1.95,1.9,1.9,1.9,1.9,1.95,2,2.05,2.2,2.3,2.45,2.45,2.5,2.5,2.45,2.45,2.45,2.45,2.45,2.5,2.55,2.6,2.6,2.5,2.5,2.5,2.55,2.53,2.55,2.56,2.56,2.55,2.6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Iraq,Iraq Crude Oil Production,1,1,million barrels per day,COPR_IZ,4.54,4.42,4.41,4.4,4.45,4.46,4.47,4.5,4.54,4.39,4.32,4.38,4.43,4.47,4.48,4.44,4.49,4.57,4.6,4.67,4.7,4.73,4.77,4.8,4.8,4.78,4.62,4.7,4.7,4.7,4.7,4.75,4.65,4.75,4.65,4.55,4.55,4.65,4.5,4.5,4.22,3.75,3.7,3.69,3.71,3.85,3.82,3.86,3.86,3.95,4,4,4,3.95,4,4.08,4.13,4.2,4.25,4.3,4.25,4.35,4.3,4.4,4.4,4.45,4.55,4.55,4.55,4.58,4.48,4.48,4.43,4.48,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Kuwait,Kuwait Crude Oil Production,1,1,million barrels per day,COPR_KU,2.78,2.72,2.71,2.71,2.71,2.72,2.71,2.71,2.73,2.74,2.71,2.7,2.71,2.71,2.72,2.71,2.71,2.72,2.8,2.8,2.8,2.8,2.8,2.8,2.75,2.75,2.72,2.72,2.72,2.72,2.7,2.7,2.7,2.7,2.7,2.71,2.71,2.71,2.9,3,2.2,2.09,2.16,2.29,2.29,2.29,2.3,2.3,2.33,2.33,2.33,2.33,2.36,2.38,2.42,2.45,2.47,2.5,2.54,2.55,2.58,2.61,2.64,2.66,2.69,2.72,2.77,2.81,2.82,2.8,2.7,2.65,2.7,2.68,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
